※※※二.企业微信接口※※※
---------------------------------------------------------------------------------------

基础接口	|	获取access_token		|	com.jeecg.qywx.api.base.JwAccessTokenAPI.java|

会话接口	|	创建会话				|	com.jeecg.qywx.api.conversation.ConversationAPI.java|
会话接口	|	获取会话				|	com.jeecg.qywx.api.conversation.ConversationAPI.java|
会话接口	|	修改会话				|	com.jeecg.qywx.api.conversation.ConversationAPI.java|
会话接口	|	退出会话				|	com.jeecg.qywx.api.conversation.ConversationAPI.java|
会话接口	|	清除会话				|	com.jeecg.qywx.api.conversation.ConversationAPI.java|
会话接口	|	会话中发送消息		|	com.jeecg.qywx.api.conversation.ConversationAPI.java|
会话接口	|	设置用户消息			|	com.jeecg.qywx.api.conversation.ConversationAPI.java|

部门接口	|	创建部门					|	com.jeecg.qywx.api.department.JwDepartmentAPI.java|
部门接口	|	更新部门					|	com.jeecg.qywx.api.department.JwDepartmentAPI.java|
部门接口	|	删除部门					|	com.jeecg.qywx.api.department.JwDepartmentAPI.java|
部门接口	|	获取指定部门列表			|	com.jeecg.qywx.api.department.JwDepartmentAPI.java|
部门接口	|	获取全部组织机构			|	com.jeecg.qywx.api.department.JwDepartmentAPI.java|

素材接口	|	上传临时性素材				|	com.jeecg.qywx.api.media.JwMediaAPI.java|
素材接口	|	上传永久性图文素材			|	com.jeecg.qywx.api.media.JwMediaAPI.java|
素材接口	|	上传其他永久性素材			|	com.jeecg.qywx.api.media.JwMediaAPI.java|
素材接口	|	删除永久性素材				|	com.jeecg.qywx.api.media.JwMediaAPI.java|
素材接口	|	获取素材总数					|	com.jeecg.qywx.api.media.JwMediaAPI.java|
素材接口	|	上传图文消息内的图片			|	com.jeecg.qywx.api.media.JwMediaAPI.java|

自定义菜单接口	|	创建应用菜单			|	com.jeecg.qywx.api.menu.JwMenuAPI.java|
自定义菜单接口	|	删除菜单				|	com.jeecg.qywx.api.menu.JwMenuAPI.java|
自定义菜单接口	|	获取菜单列表			|	com.jeecg.qywx.api.menu.JwMenuAPI.java|

消息接口	|	发送文本信息					|	com.jeecg.qywx.api.message.JwMessageAPI.java|
消息接口	|	发送图片信息					|	com.jeecg.qywx.api.message.JwMessageAPI.java|
消息接口	|	发送音频信息					|	com.jeecg.qywx.api.message.JwMessageAPI.java|
消息接口	|	发送视频消息					|	com.jeecg.qywx.api.message.JwMessageAPI.java|
消息接口	|	发送媒体文件					|	com.jeecg.qywx.api.message.JwMessageAPI.java|
消息接口	|	发送媒体文件消息				|	com.jeecg.qywx.api.message.JwMessageAPI.java|
消息接口	|	发送消息使用图文素材			|	com.jeecg.qywx.api.message.JwMessageAPI.java|
消息接口	|	发送消息使用永久图文素材		|	com.jeecg.qywx.api.message.JwMessageAPI.java|

成员接口	|	 创建成员				|	com.jeecg.qywx.api.user.JwUserAPI.java|
成员接口	|	 更新成员				|	com.jeecg.qywx.api.user.JwUserAPI.java|
成员接口	|	 删除成员				|	com.jeecg.qywx.api.user.JwUserAPI.java|
成员接口	|	 批量删除成员			|	com.jeecg.qywx.api.user.JwUserAPI.java|
成员接口	|	 获取成员				|	com.jeecg.qywx.api.user.JwUserAPI.java|
成员接口	|	获取部门下的成员		|	com.jeecg.qywx.api.user.JwUserAPI.java|
成员接口	|	获取部门成员详情		|	com.jeecg.qywx.api.user.JwUserAPI.java|

转换接口	|	userid转换成openid		|	com.jeecg.qywx.api.userandopenmsg.JwCardMessageAPI.java|
转换接口	|	openid转换成userid		|	com.jeecg.qywx.api.userandopenmsg.JwCardMessageAPI.java|




