※※※四.微博接口※※※
---------------------------------------------------------------------------------------

基础接口		|	获取授权用户的UID					|	com.jeecg.weibo.api.WeiboAccountApi.java|

评论接口		|	我发出的评论列表接口					|	com.jeecg.weibo.api.WeiboCommentsApi.java|
评论接口		|	我收到的评论列表接口					|	com.jeecg.weibo.api.WeiboCommentsApi.java|

粉丝接口		|	获取用户粉丝列表接口					|	com.jeecg.weibo.api.WeiboFriendshipsApi.java|
粉丝接口		|	获取用户粉丝UID列表接口				|	com.jeecg.weibo.api.WeiboFriendshipsApi.java|

发微博接口	|	发布一条新微博接口					|	com.jeecg.weibo.api.WeiboSendApi.java|
发微博接口	|	删除一条微博接口						|	com.jeecg.weibo.api.WeiboSendApi.java|

获取微博接口	|	获取用户发布的微博接口				|	com.jeecg.weibo.api.WeiboStatusesApi.java|
获取微博接口	|	获取用户发布的微博的ID的接口			|	com.jeecg.weibo.api.WeiboStatusesApi.java|
获取微博接口	|	批量获取指定微博的转发数评论数接口		|	com.jeecg.weibo.api.WeiboStatusesApi.java|
获取微博接口	|	根据ID获取单条微博信息接口			|	com.jeecg.weibo.api.WeiboStatusesApi.java|
获取微博接口	|	获取@当前用户的最新微博接口			|	com.jeecg.weibo.api.WeiboStatusesApi.java|
获取微博接口	|	获取@当前用户的最新微博的ID接口		|	com.jeecg.weibo.api.WeiboStatusesApi.java|

用户接口	|	根据用户ID获取用户信息				|	com.jeecg.weibo.api.WeiboUsersApi|
用户接口	|	批量获取用户的粉丝数/关注数/微博数接口	|	com.jeecg.weibo.api.WeiboUsersApi|
